omega,beta0,E,episode,beta,average R^T
1,0,3000,19154,0,-104.31791687011719
1,0,3000,19170,0,-103.6181411743164
1,0,3000,19228,0,-104.17669677734375
1,0,3000,19272,0,-104.41522216796875
1,0,3000,19276,0,-104.54154968261719
1,0,3000,19301,0,-103.4395523071289
1,0,3000,19486,0,-104.35383605957031
1,0,3000,19501,0,-104.66095733642578
1,0,3000,19504,0,-104.98502349853516
1,0,3000,19526,0,-104.83447265625
1,0,3000,19532,0,-104.88379669189453
1,0,3000,19555,0,-105.13867950439453
1,0,3000,19580,0,-105.57340240478516
1,0,3000,19595,0,-105.09947204589844
1,0,3000,19635,0,-103.68098449707031
1,0,3000,19641,0,-104.19132232666016
1,0,3000,19655,0,-104.23797607421875
1,0,3000,19666,0,-104.1924057006836
1,0,3000,19675,0,-104.527587890625
1,0,3000,19721,0,-104.71440124511719
1,0,3000,19728,0,-104.6146011352539
1,0,3000,19732,0,-104.69689178466797
1,0,3000,19738,0,-104.64018249511719
1,0,3000,19797,0,-104.38909149169922
