train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,time/time_elapsed
3660.577973632813,96745.862890625,-11391.64731981,67400,67600,150,676,100.0,0.001,447
3654.907375488281,114218.60318115234,-11237.88994862,67800,68000,150,680,100.0,0.001,450
3646.2753759765615,99732.80786010742,-11134.998705379998,68200,68400,150,684,100.0,0.001,453
3657.086838378906,110760.86147705078,-10948.02836072,68600,68800,150,688,100.0,0.001,455
3664.7633813476564,111229.1258166504,-10689.05495079,69000,69200,150,692,100.0,0.001,458
3663.5742846679686,114242.80439086915,-10540.839307859998,69400,69600,150,696,100.0,0.001,461
3664.4313159179687,107121.60336669922,-10473.08558746,69800,70000,150,700,100.0,0.001,463
3676.7302514648436,104902.4180456543,-10377.08521144,70200,70400,150,704,100.0,0.001,466
3695.256557617187,106873.11581359863,-10176.72976851,70600,70800,150,708,100.0,0.001,468
3709.851357421875,113626.80578979492,-9992.94868108,71000,71200,150,712,100.0,0.001,471
3691.935825195313,102108.66448486329,-9897.19795457,71400,71600,150,716,100.0,0.001,474
3686.21861328125,116786.26014648438,-9783.51907161,71800,72000,150,720,100.0,0.001,476
3680.5012866210936,137427.93845581054,-9693.75237749,72200,72400,150,724,100.0,0.001,479
3663.9417700195313,121945.66126831055,-9588.141161480002,72600,72800,150,728,100.0,0.001,482
3649.149057617187,96124.3825793457,-9501.088837750001,73000,73200,150,732,100.0,0.001,484
3621.1312231445313,111291.59825805663,-9272.67695196,73400,73600,150,736,100.0,0.001,487
3633.0908447265615,113593.0542578125,-9099.25625561,73800,74000,150,740,100.0,0.001,490
3619.159577636719,112082.09716186524,-8837.83373376,74200,74400,150,744,100.0,0.001,492
3590.079323730469,109905.24026367188,-8519.329359970001,74600,74800,150,748,100.0,0.001,495
3557.8246264648437,105339.76710571288,-8243.019163970002,75000,75200,150,752,100.0,0.001,498
3530.6085205078125,103765.68061035156,-7893.529886159998,75400,75600,150,756,100.0,0.001,500
3533.1574853515626,112568.57572143554,-7538.2991397199985,75800,76000,150,760,100.0,0.001,503
3510.5879565429686,107831.51984375,-7293.13762472,76200,76400,150,764,100.0,0.001,506
3490.872778320313,99423.67153442383,-6973.315981739999,76600,76800,150,768,100.0,0.001,508
3491.127153320313,115540.25580078125,-6664.155167089999,77000,77200,150,772,100.0,0.001,511
3480.252592773437,109350.131282959,-6729.099260069999,77400,77600,150,776,100.0,0.001,514
3466.299709472656,90798.13502563477,-6744.884855009999,77800,78000,150,780,100.0,0.001,516
3471.6662329101564,87769.07667358399,-6804.626077489998,78200,78400,150,784,100.0,0.001,519
3449.581052246094,118369.64200073242,-6936.541304900003,78600,78800,150,788,100.0,0.001,521
3459.98140625,97840.66689941406,-7160.273931849999,79000,79200,150,792,100.0,0.001,524
3463.9518310546873,106534.22119506836,-6982.5835824199985,79400,79600,150,796,100.0,0.001,527
3462.51166015625,92544.11341674805,-6717.8600632399975,79800,80000,150,800,100.0,0.001,529
3470.3299951171875,105222.48113159179,-6397.310329420003,80200,80400,150,804,100.0,0.001,532
3472.3813061523438,103138.75631469727,-6148.1514421,80600,80800,150,808,100.0,0.001,535
3468.369348144531,83094.5350793457,-5966.07090974,81000,81200,150,812,100.0,0.001,537
3462.087153320313,114934.16428466798,-5620.11172709,81400,81600,150,816,100.0,0.001,540
3450.921027832031,98814.93389038084,-5282.654080460001,81800,82000,150,820,100.0,0.001,543
3452.0409497070314,91167.22735839844,-4920.798009970002,82200,82400,150,824,100.0,0.001,545
3434.0774731445313,95589.5094885254,-4571.33464863,82600,82800,150,828,100.0,0.001,548
3409.470046386719,109883.75466674805,-4221.06077097,83000,83200,150,832,100.0,0.001,551
3405.005202636719,99828.30720214844,-3995.79904656,83400,83600,150,836,100.0,0.001,553
