train/explained_variance,train/entropy_loss,train/std,train/policy_loss,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean,time/fps
5.960464477539063e-08,-5.079223155975342,1.316380262374878,-2091.284423828125,60000,149,12000,0.0007,11999,-13377.565056850002,166212.140625,100.0,401
0.0,-5.088574409484863,1.320219874382019,-2191.804931640625,60500,150,12100,0.0007,12099,-13379.55964005,166101.640625,100.0,401
0.0,-5.09828519821167,1.3259385824203491,-1548.7978515625,61000,151,12200,0.0007,12199,-13382.37405222,165991.609375,100.0,401
-1.1920928955078125e-07,-5.093284606933594,1.3239364624023438,-1629.3555908203125,61500,153,12300,0.0007,12299,-13386.060680950002,165882.546875,100.0,401
0.0,-5.121675491333008,1.3348550796508791,-2371.649658203125,62000,154,12400,0.0007,12399,-13390.310425819998,163633.125,100.0,401
1.1920928955078125e-07,-5.092763900756836,1.3222776651382446,-1974.1864013671875,62500,155,12500,0.0007,12499,-13396.552112120002,165663.796875,100.0,401
0.0,-5.09871768951416,1.3256077766418457,-1909.7047119140625,63000,156,12600,0.0007,12599,-13393.88387354,165554.140625,100.0,401
0.0,-5.100144863128662,1.3262726068496704,-1990.0262451171875,63500,158,12700,0.0007,12699,-13394.94124592,165443.921875,100.0,401
-1.1920928955078125e-07,-5.102129459381104,1.327662229537964,-1721.771484375,64000,159,12800,0.0007,12799,-13389.69334384,161037.171875,100.0,401
0.0,-5.094734191894531,1.3228509426116943,-2209.709716796875,64500,160,12900,0.0007,12899,-13383.290381709996,163118.796875,100.0,401
0.0,-5.081904888153076,1.3165524005889893,-2371.27001953125,65000,161,13000,0.0007,12999,-13381.601538279998,165123.578125,100.0,401
5.960464477539063e-08,-5.0891642570495605,1.3197834491729736,-2308.398193359375,65500,162,13100,0.0007,13099,-13383.250055829994,152635.15625,100.0,401
0.0,-5.108361721038818,1.3302494287490845,-1567.43310546875,66000,164,13200,0.0007,13199,-13383.205450650004,164907.46875,100.0,401
0.0,-5.124231338500977,1.3373658657073977,-1821.34375,66500,165,13300,0.0007,13299,-13383.50762096,162396.109375,100.0,401
0.0,-5.168006420135498,1.3580330610275269,-1623.30322265625,67000,166,13400,0.0007,13399,-13383.98840179,157628.484375,100.0,401
0.0,-5.176416397094727,1.3608264923095703,-2047.4019775390625,67500,167,13500,0.0007,13499,-13383.88467762,164587.203125,100.0,401
1.1920928955078125e-07,-5.1706809997558585,1.3583654165267944,-2085.255859375,68000,169,13600,0.0007,13599,-13381.91959937,160154.125,100.0,402
0.0,-5.177978038787842,1.3633790016174316,-1723.1715087890625,68500,170,13700,0.0007,13699,-13381.55821393,158693.671875,100.0,402
0.0,-5.170625686645508,1.3589519262313845,-2104.727294921875,69000,171,13800,0.0007,13799,-13358.87478861,154292.796875,100.0,402
0.0,-5.169902324676514,1.3598010540008545,-1609.52197265625,69500,172,13900,0.0007,13899,-13331.24305337,145466.15625,100.0,402
0.0,-5.167398452758789,1.3594444990158079,-1512.3216552734375,70000,174,14000,0.0007,13999,-13306.87032103,144917.671875,100.0,402
-1.1920928955078125e-07,-5.1865763664245605,1.3664716482162476,-1892.92578125,70500,175,14100,0.0007,14099,-13275.7743173,148588.671875,100.0,402
0.0,-5.203542709350586,1.37416672706604,-1629.5352783203125,71000,176,14200,0.0007,14199,-13245.858944819998,135279.671875,100.0,402
0.0,-5.240589141845703,1.3917703628540041,-1716.8992919921875,71500,177,14300,0.0007,14299,-13242.95059831,163780.515625,100.0,402
0.0,-5.274919509887695,1.4083096981048584,-1600.6624755859375,72000,179,14400,0.0007,14399,-13240.64632117,163665.375,100.0,402
0.0,-5.273982524871826,1.4065911769866943,-2033.3658447265625,72500,180,14500,0.0007,14499,-13235.09056456,155833.953125,100.0,402
0.0,-5.270148754119873,1.4055280685424805,-2066.1669921875,73000,181,14600,0.0007,14599,-13236.5607077,160941.25,100.0,402
-1.1920928955078125e-07,-5.266427040100098,1.4038615226745603,-2042.6195068359373,73500,182,14700,0.0007,14699,-13226.64772168,152563.6875,100.0,402
0.0,-5.275136947631836,1.409026861190796,-1760.9036865234375,74000,183,14800,0.0007,14799,-13224.18009128,161688.40625,100.0,402
0.0,-5.288867950439453,1.4152292013168335,-1985.5770263671875,74500,185,14900,0.0007,14899,-13220.26395774,149500.21875,100.0,402
0.0,-5.305329322814941,1.424032211303711,-1632.397705078125,75000,186,15000,0.0007,14999,-13218.764355259998,162298.15625,100.0,402
0.0,-5.3198280334472665,1.4310433864593506,-1713.9234619140625,75500,187,15100,0.0007,15099,-13216.095234599998,159574.90625,100.0,402
0.0,-5.352178573608398,1.4470643997192385,-1809.346923828125,76000,188,15200,0.0007,15199,-13212.91210609,155022.8125,100.0,402
1.1920928955078125e-07,-5.365663051605225,1.4536044597625732,-1876.9664306640625,76500,190,15300,0.0007,15299,-13212.44694058,162693.65625,100.0,402
5.960464477539063e-08,-5.368870735168457,1.456071853637695,-1617.1541748046875,77000,191,15400,0.0007,15399,-13212.56021274,162587.875,100.0,402
