time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps
147,2520.3250830078123,595,99357.64877685547,100.0,876,87400,-103.37824742000001,0.001,87600
147,2519.6969287109373,598,117937.90522949219,100.0,880,87800,-105.30833839,0.001,88000
147,2497.6981005859375,601,110667.74440673827,100.0,884,88200,-105.24198956000002,0.001,88400
147,2486.79806640625,604,128118.33625,100.0,888,88600,-105.16119828000002,0.001,88800
147,2462.0107861328124,606,92093.19574829102,100.0,892,89000,-105.11191323999999,0.001,89200
147,2448.0041748046874,609,133312.95483642578,100.0,896,89400,-105.04939876,0.001,89600
147,2439.4169140625,612,112271.8439477539,100.0,900,89800,-104.91845753,0.001,90000
147,2405.4197314453127,614,98145.58028320312,100.0,904,90200,-104.7334858,0.001,90400
146,2385.353134765625,617,119895.05089355468,100.0,908,90600,-104.17365456999998,0.001,90800
146,2369.5760498046875,620,116246.61014648438,100.0,912,91000,-103.61966273,0.001,91200
146,2347.9656005859374,623,102193.27068481446,100.0,916,91400,-103.02148404000002,0.001,91600
146,2346.6844775390623,625,102539.72717041016,100.0,920,91800,-102.01312178000002,0.001,92000
146,2315.343779296875,628,95953.02600219726,100.0,924,92200,-100.96936306000002,0.001,92400
146,2302.40458984375,631,87672.68857666016,100.0,928,92600,-99.60046773,0.001,92800
146,2255.6186474609376,634,115874.90221923828,100.0,932,93000,-100.31771603999998,0.001,93200
146,2249.424287109375,636,97475.60661621093,100.0,936,93400,-99.80809841,0.001,93600
146,2224.8918603515626,639,139230.61532958984,100.0,940,93800,-98.3304202,0.001,94000
146,2185.9898388671877,642,114167.84037841797,100.0,944,94200,-96.9543425,0.001,94400
146,2191.7513916015623,645,108524.88534667969,100.0,948,94600,-95.54896827,0.001,94800
146,2166.426865234375,647,91919.82768310547,100.0,952,95000,-94.32398452000002,0.001,95200
146,2154.3867724609377,650,97725.28126464844,100.0,956,95400,-92.95361878,0.001,95600
146,2141.8884521484374,653,87714.13673217774,100.0,960,95800,-91.48592607,0.001,96000
146,2121.7064575195313,656,80165.38884399414,100.0,964,96200,-90.33352495000001,0.001,96400
146,2109.8262036132815,658,111259.87274169922,100.0,968,96600,-89.13031568000001,0.001,96800
146,2060.5973583984373,661,121320.93506347656,100.0,972,97000,-88.03398650999999,0.001,97200
146,2065.2025317382813,664,63680.61949829102,100.0,976,97400,-87.07072591000001,0.001,97600
146,2034.8373901367188,667,84412.83453491211,100.0,980,97800,-83.89740502000001,0.001,98000
146,2035.0061376953124,669,110978.32802490234,100.0,984,98200,-82.89497148000001,0.001,98400
146,2004.9134936523437,672,97845.71610107421,100.0,988,98600,-82.00950503,0.001,98800
146,2006.422060546875,675,108899.3592163086,100.0,992,99000,-81.15430432,0.001,99200
146,1982.2665502929688,677,97766.47987304688,100.0,996,99400,-80.26498561,0.001,99600
146,1939.0712036132813,680,77231.47465942382,100.0,1000,99800,-80.00233675999999,0.001,100000
146,1948.19994140625,683,79955.78788085938,100.0,1004,100200,-79.16554237,0.001,100400
146,1919.9793090820312,686,93882.07166503907,100.0,1008,100600,-78.46662798999999,0.001,100800
146,1923.4627563476563,688,101502.5772631836,100.0,1012,101000,-77.85515532000001,0.001,101200
146,1891.7714697265626,691,65549.57947143554,100.0,1016,101400,-78.26860484,0.001,101600
146,1867.5374584960937,694,80293.5546484375,100.0,1020,101800,-78.01612913,0.001,102000
146,1831.2614526367188,697,76339.12201293945,100.0,1024,102200,-79.75462777,0.001,102400
146,1826.8902612304687,699,65192.24317993164,100.0,1028,102600,-79.97943287,0.001,102800
146,1828.2237573242187,702,72396.53969970703,100.0,1032,103000,-78.09525558,0.001,103200
146,1801.8010327148438,705,81275.37223632813,100.0,1036,103400,-77.54373324000001,0.001,103600
146,1791.805537109375,708,79880.97914550781,100.0,1040,103800,-77.81298433,0.001,104000
146,1795.1648974609375,710,76317.36377075195,100.0,1044,104200,-80.88174912000001,0.001,104400
146,1749.3223950195313,713,84627.9602734375,100.0,1048,104600,-81.26850504,0.001,104800
146,1753.817216796875,716,66984.06538818359,100.0,1052,105000,-81.28904505,0.001,105200
146,1761.84474609375,718,78177.24712890625,100.0,1056,105400,-81.56280967999999,0.001,105600
146,1745.5412866210938,721,72512.21649169922,100.0,1060,105800,-82.94868423999998,0.001,106000
146,1717.1137670898438,724,57833.64041381836,100.0,1064,106200,-82.99387875000001,0.001,106400
146,1718.3838330078124,727,77549.8250024414,100.0,1068,106600,-82.26808783999999,0.001,106800
146,1694.16341796875,729,56679.82017700195,100.0,1072,107000,-82.50664299,0.001,107200
146,1692.62099609375,732,68478.19684692383,100.0,1076,107400,-82.44348331,0.001,107600
146,1678.164619140625,735,59635.53959106445,100.0,1080,107800,-82.5206166,0.001,108000
146,1659.1700756835937,738,55508.48479370117,100.0,1084,108200,-82.52937067,0.001,108400
146,1663.4350708007812,740,50181.526555175784,100.0,1088,108600,-82.42206997,0.001,108800
146,1633.6246875,743,72105.96011108399,100.0,1092,109000,-81.96547072999999,0.001,109200
146,1629.165625,746,63979.761123046876,100.0,1096,109400,-81.84280822,0.001,109600
146,1608.1460888671875,749,57034.30475952148,100.0,1100,109800,-81.04935275,0.001,110000
146,1594.9825659179687,751,69287.5916003418,100.0,1104,110200,-80.87489484000001,0.001,110400
146,1590.181826171875,754,62699.52630493164,100.0,1108,110600,-80.90103829,0.001,110800
146,1570.9326953125,757,62991.35298706055,100.0,1112,111000,-80.84279224999999,0.001,111200
146,1567.5336865234376,760,75378.73937744141,100.0,1116,111400,-79.82579555,0.001,111600
146,1541.9520385742187,762,55474.77853759765,100.0,1120,111800,-79.64995453000002,0.001,112000
146,1524.2216040039064,765,62161.04803100586,100.0,1124,112200,-78.00491511,0.001,112400
146,1502.5828442382813,768,68351.37615600586,100.0,1128,112600,-77.83437487,0.001,112800
146,1509.9258276367189,770,67640.45432617188,100.0,1132,113000,-77.85080553,0.001,113200
146,1492.8521044921874,773,58191.34030151367,100.0,1136,113400,-77.86364807999999,0.001,113600
146,1482.2558715820312,776,60901.07064208984,100.0,1140,113800,-79.10580756999998,0.001,114000
146,1469.697978515625,779,54614.49322875976,100.0,1144,114200,-76.35035303,0.001,114400
146,1452.26236328125,781,60973.57287597656,100.0,1148,114600,-76.5450849,0.001,114800
146,1450.3062377929687,784,54642.49280883789,100.0,1152,115000,-76.90164810000002,0.001,115200
146,1460.1647973632812,787,45533.611651611325,100.0,1156,115400,-77.16590267999999,0.001,115600
146,1438.0776733398438,790,50258.0917956543,100.0,1160,115800,-76.39339560999998,0.001,116000
146,1414.2387158203126,792,43206.780317382814,100.0,1164,116200,-76.82263130999999,0.001,116400
146,1412.1185107421875,795,70715.58180664062,100.0,1168,116600,-76.64326928,0.001,116800
146,1406.15564453125,798,52988.60319580078,100.0,1172,117000,-76.60161391999999,0.001,117200
146,1376.7444067382812,800,52607.367673339846,100.0,1176,117400,-76.72113248,0.001,117600
146,1389.2722998046875,803,57523.56696777344,100.0,1180,117800,-76.88852336999999,0.001,118000
146,1379.6766625976563,806,49862.05058349609,100.0,1184,118200,-77.16097049999999,0.001,118400
146,1329.756318359375,808,44667.32913330078,100.0,1188,118600,-77.2942235,0.001,118800
146,1344.8691723632812,811,42741.49388427734,100.0,1192,119000,-77.63615750999999,0.001,119200
146,1329.753095703125,814,32176.459462890623,100.0,1196,119400,-77.71377996,0.001,119600
146,1338.0495458984376,816,36082.236763916015,100.0,1200,119800,-77.58520463999999,0.001,120000
