train/policy_loss,time/time_elapsed,time/fps,train/std,time/iterations,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates
-0.012797904200851917,2714,505,0.7583023309707642,274300,1371500,2.550915814936161e-05,-172.0,1.0,nan,-1.7195926904678345,0.0007,274299
0.022646013647317886,2715,505,0.7656421065330505,274400,1372000,0.0003725814167410135,-172.0,1.0,nan,-1.7306139469146729,0.0007,274399
-0.007559367921203375,2715,505,0.7695046067237854,274500,1372500,2.1659070625901222e-05,-172.0,1.0,nan,-1.7411266565322876,0.0007,274499
-0.057519055902957916,2716,505,0.7733249068260193,274600,1373000,0.0012114087585359812,-172.0,1.0,nan,-1.7360355854034424,0.0007,274599
0.013553082942962646,2717,505,0.7795882225036621,274700,1373500,6.890296936035156e-05,-172.0,1.0,nan,-1.7398767471313477,0.0007,274699
-0.011097352020442486,2718,505,0.7790508270263672,274800,1374000,9.596440941095352e-05,-172.0,1.0,nan,-1.7403242588043213,0.0007,274799
-0.10623674839735031,2719,505,0.7812880277633667,274900,1374500,0.002396121621131897,-172.0,1.0,nan,-1.7477715015411377,0.0007,274899
0.02925550378859043,2720,505,0.7776997685432434,275000,1375000,0.00030995687120594084,-172.0,1.0,nan,-1.7405697107315063,0.0007,274999
-0.053184520453214645,2721,505,0.7815604209899902,275100,1375500,0.001027761260047555,-172.0,1.0,nan,-1.7395282983779907,0.0007,275099
-0.011165887117385864,2722,505,0.7841765880584717,275200,1376000,3.2220035791397095e-05,-172.0,1.0,nan,-1.7386630773544312,0.0007,275199
0.04891733452677727,2723,505,0.7839750647544861,275300,1376500,0.001085289055481553,-172.0,1.0,nan,-1.7353893518447876,0.0007,275299
0.03000318445265293,2724,505,0.7831571102142334,275400,1377000,0.000310279632685706,-172.0,1.0,nan,-1.7329107522964478,0.0007,275399
-0.004957191180437803,2725,505,0.7825995087623596,275500,1377500,7.627764716744423e-06,-172.0,1.0,nan,-1.740228295326233,0.0007,275499
0.01766861043870449,2726,505,0.787442147731781,275600,1378000,0.000104767459561117,-172.0,1.0,nan,-1.7540405988693237,0.0007,275599
0.01197008602321148,2727,505,0.7818338871002197,275700,1378500,8.635246194899082e-05,-172.0,1.0,nan,-1.7313228845596313,0.0007,275699
0.025661516934633255,2728,505,0.7908076643943787,275800,1379000,0.0003643801901489496,-172.0,1.0,nan,-1.7492958307266235,0.0007,275799
0.021575244143605232,2729,505,0.7934354543685913,275900,1379500,0.0002195222768932581,-172.0,1.0,nan,-1.7557071447372437,0.0007,275899
-0.0701541006565094,2730,505,0.7921707034111023,276000,1380000,0.002336740493774414,-172.0,1.0,nan,-1.7580360174179077,0.0007,275999
-0.01910184882581234,2731,505,0.8002895712852478,276100,1380500,9.065866470336914e-05,-172.0,1.0,nan,-1.7668596506118774,0.0007,276099
-0.06407540291547775,2732,505,0.8082085847854614,276200,1381000,0.0007678419351577759,-172.0,1.0,nan,-1.7794815301895142,0.0007,276199
-0.04653829708695412,2733,505,0.8209574818611145,276300,1381500,0.0007822850602678955,-172.0,1.0,nan,-1.8028535842895508,0.0007,276299
-0.03667746111750603,2734,505,0.8164534568786621,276400,1382000,0.0003116785082966089,-172.0,1.0,nan,-1.797461748123169,0.0007,276399
0.09183676540851593,2735,505,0.8209386467933655,276500,1382500,0.002960757352411747,-172.0,1.0,nan,-1.8018852472305298,0.0007,276499
-0.034894876182079315,2736,505,0.820244312286377,276600,1383000,0.000308990478515625,-172.0,1.0,nan,-1.7998861074447632,0.0007,276599
