train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,time/total_timesteps,train/std,train/n_updates,train/value_loss
-5.472574234008789,100.0,138,-710.4520874023438,14400,-10112.34042825,519,0.0007,0.0,72000,1.501309156417847,14399,22621.572265625
-5.4671149253845215,100.0,139,-510.97686767578125,14500,-9801.26053929,519,0.0007,-1.1920928955078125e-07,72500,1.4998886585235596,14499,14348.650390625
-5.46250057220459,100.0,140,-289.531494140625,14600,-9416.593868479997,519,0.0007,0.0,73000,1.4969720840454102,14599,5737.06005859375
-5.4663424491882315,100.0,141,-597.9476318359375,14700,-8995.25059688,519,0.0007,0.0,73500,1.5000083446502686,14699,16198.5361328125
-5.458693027496338,100.0,142,-965.6431884765624,14800,-8593.153915209998,519,0.0007,0.0,74000,1.4961600303649902,14799,40433.05859375
-5.452767372131348,100.0,143,-958.32861328125,14900,-8157.529241030001,519,0.0007,0.0,74500,1.4929285049438477,14899,30501.755859375
-5.44282341003418,100.0,144,-213.3623046875,15000,-7732.653026769999,520,0.0007,1.1920928955078125e-07,75000,1.4884505271911619,14999,1893.220703125
-5.4526777267456055,100.0,145,-874.8072509765625,15100,-7313.7282063400025,520,0.0007,0.0,75500,1.492398023605347,15099,22211.724609375
-5.435476779937744,100.0,146,-676.9329223632812,15200,-6862.93794447,520,0.0007,0.0,76000,1.4852945804595947,15199,20704.962890625
-5.440504550933838,100.0,147,-219.15933227539062,15300,-6446.927022370001,520,0.0007,0.0,76500,1.487962007522583,15299,2297.064208984375
-5.430365562438965,100.0,148,-264.57516479492193,15400,-6040.208605749999,520,0.0007,-1.1920928955078125e-07,77000,1.4834907054901123,15399,4106.74755859375
-5.42771053314209,100.0,148,-155.1243896484375,15500,-5664.770165999999,520,0.0007,5.960464477539063e-08,77500,1.4809144735336304,15499,1144.3802490234375
-5.409337520599365,100.0,149,-375.6400146484375,15600,-5324.43191465,520,0.0007,0.0,78000,1.472161054611206,15599,4890.9677734375
-5.413365840911865,100.0,150,-695.0525512695312,15700,-5011.855306279998,520,0.0007,8.344650268554688e-07,78500,1.4756454229354858,15699,17643.630859375
-5.406377792358398,100.0,151,-241.2919464111328,15800,-4729.389535810001,520,0.0007,0.0,79000,1.4723529815673828,15799,2369.647216796875
-5.399260520935059,100.0,152,-286.1845703125,15900,-4487.488949309998,520,0.0007,-2.384185791015625e-07,79500,1.469630002975464,15899,3896.682373046875
-5.393957614898682,100.0,153,-192.3388671875,16000,-4229.955035510002,520,0.0007,0.0,80000,1.466962218284607,15999,2098.935302734375
-5.386949062347412,100.0,154,-255.8452911376953,16100,-4004.7916797400007,520,0.0007,0.0,80500,1.4629459381103516,16099,2613.698486328125
-5.3662943840026855,100.0,155,-238.92112731933597,16200,-3805.85995418,520,0.0007,0.0,81000,1.4531431198120115,16199,2252.557373046875
-5.3481550216674805,100.0,156,-147.20481872558594,16300,-3625.13344252,520,0.0007,0.0,81500,1.4445819854736328,16299,1000.9607543945312
-5.339845657348633,100.0,157,-1703.0289306640625,16400,-3555.64016132,520,0.0007,0.0,82000,1.4393562078475952,16399,76696.3984375
-5.338128089904785,100.0,158,-598.9903564453125,16500,-3486.8603791699993,520,0.0007,0.0,82500,1.4392719268798828,16499,14617.5908203125
-5.339372158050537,100.0,159,-213.508544921875,16600,-3470.37097955,520,0.0007,-1.1920928955078125e-07,83000,1.4419944286346436,16599,2130.376220703125
-5.338151454925537,100.0,160,-948.9699096679688,16700,-3489.92654185,520,0.0007,0.0,83500,1.4408583641052246,16699,47367.078125
-5.330701351165772,100.0,161,-337.1411437988281,16800,-3472.3360799299994,520,0.0007,0.0,84000,1.4362037181854248,16799,5995.2783203125
-5.324593544006348,100.0,162,-791.3298950195312,16900,-3464.7561670499995,520,0.0007,0.0,84500,1.4324893951416016,16899,14620.064453125
