train/n_updates,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/actor_loss
89400,600,896,99786.93615234377,0.001,149,-512.74388185,100.0,89600,2214.819951171875
89800,603,900,102355.803157959,0.001,149,-512.63980456,100.0,90000,2191.276791992188
90200,606,904,112453.90406982422,0.001,149,-512.56708181,100.0,90400,2200.6563330078125
90600,608,908,99330.31826660156,0.001,149,-511.38008942,100.0,90800,2156.810874023437
91000,611,912,100368.75024047852,0.001,149,-511.76924886,100.0,91200,2143.6343627929687
91400,614,916,98420.96961425783,0.001,149,-511.69581668,100.0,91600,2114.39501953125
91800,616,920,72910.78217407227,0.001,149,-511.89916787,100.0,92000,2098.908132324219
92200,619,924,93257.55379638672,0.001,149,-511.89960476,100.0,92400,2072.090407714844
92600,621,928,81223.40564453125,0.001,149,-511.83743731,100.0,92800,2070.153232421875
93000,624,932,78107.58301513671,0.001,149,-511.73242632,100.0,93200,2062.605920410156
93400,627,936,98322.40133544922,0.001,149,-511.43643809,100.0,93600,2023.7432495117187
93800,629,940,82442.99226318361,0.001,149,-511.46123303,100.0,94000,2008.41322265625
94200,632,944,89509.55334228516,0.001,149,-511.30891975,100.0,94400,1999.30919921875
94600,635,948,82221.05624511719,0.001,149,-511.03347817,100.0,94800,1992.732829589844
95000,637,952,97138.73190673828,0.001,149,-510.78989913,100.0,95200,1971.0089404296875
95400,640,956,75588.44484985352,0.001,149,-509.29985108,100.0,95600,1956.7688232421874
95800,643,960,88192.57137817383,0.001,149,-509.20958840000003,100.0,96000,1942.8624145507813
96200,645,964,57729.88490600586,0.001,149,-509.15761087,100.0,96400,1947.952099609375
96600,648,968,78608.77380126952,0.001,149,-508.95180862,100.0,96800,1906.6880908203125
97000,651,972,71731.76712524414,0.001,149,-508.71288747,100.0,97200,1882.91314453125
97400,654,976,76782.66486572266,0.001,149,-508.88110072,100.0,97600,1880.0509228515625
97800,656,980,72445.94604248049,0.001,149,-508.90710317,100.0,98000,1849.3981665039066
98200,659,984,71098.81243041992,0.001,149,-509.39682608,100.0,98400,1847.0799072265625
98600,662,988,66532.21381225585,0.001,149,-509.26033563,100.0,98800,1833.6845629882807
99000,664,992,62792.86430053711,0.001,149,-509.0078444,100.0,99200,1824.459755859375
99400,667,996,72261.1914868164,0.001,149,-507.90359562,100.0,99600,1792.4878564453124
99800,670,1000,79721.95716796875,0.001,149,-509.26118205,100.0,100000,1787.8498291015626
100200,672,1004,65692.88288330079,0.001,149,-509.30607271,100.0,100400,1758.4770483398438
