time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
78400,784,-9710.31145432,153,100.0,78200,3432.744169921875,153090.2216748047,511,0.001
78800,788,-9705.054902509997,153,100.0,78600,3435.2689453125,159143.50562011718,514,0.001
79200,792,-9687.597374469999,153,100.0,79000,3437.9885107421874,166867.59056396486,516,0.001
79600,796,-9682.224979280001,153,100.0,79400,3457.1972998046876,189558.7039868164,519,0.001
80000,800,-9680.13865739,153,100.0,79800,3443.23123046875,160751.99173095703,522,0.001
80400,804,-9674.540597090001,153,100.0,80200,3469.6968798828125,164457.4848120117,524,0.001
80800,808,-9577.91400699,153,100.0,80600,3457.434189453125,169462.5855517578,527,0.001
81200,812,-9580.393484820002,153,100.0,81000,3467.5509619140626,198994.55502929687,529,0.001
81600,816,-9583.143997849998,153,100.0,81400,3470.98001953125,177917.9650390625,532,0.001
82000,820,-9542.54353182,153,100.0,81800,3469.206513671875,160767.33155273437,535,0.001
82400,824,-9561.10806858,153,100.0,82200,3485.2994189453125,211757.89497802735,537,0.001
82800,828,-9556.123917879999,153,100.0,82600,3452.960185546875,148191.0725805664,540,0.001
83200,832,-9593.748820489998,153,100.0,83000,3475.92423828125,167727.8030541992,543,0.001
83600,836,-9591.34695267,153,100.0,83400,3446.372861328125,159304.31259521484,545,0.001
84000,840,-9578.29190518,153,100.0,83800,3456.6603955078126,173062.62382324217,548,0.001
84400,844,-9579.611839359999,153,100.0,84200,3484.7837060546876,170670.04584960936,550,0.001
84800,848,-9583.212838369998,153,100.0,84600,3485.162744140625,170913.17104003907,553,0.001
85200,852,-9566.73504431,153,100.0,85000,3480.4132080078125,203270.83290771485,556,0.001
85600,856,-9566.94712395,153,100.0,85400,3491.08525390625,165414.9753222656,558,0.001
86000,860,-9449.9786387,153,100.0,85800,3492.3016357421875,201713.0277783203,561,0.001
86400,864,-9329.18770046,153,100.0,86200,3504.831728515625,225790.76161621095,563,0.001
86800,868,-9367.334462960001,153,100.0,86600,3503.2214453125,164366.1612890625,566,0.001
87200,872,-9268.238215319998,153,100.0,87000,3491.8152001953126,176471.25104736327,569,0.001
87600,876,-9233.480000140002,153,100.0,87400,3519.591630859375,185539.70318847656,571,0.001
88000,880,-9190.6350195,153,100.0,87800,3519.57732421875,148198.83333984375,574,0.001
88400,884,-9230.684215659998,153,100.0,88200,3513.452763671875,205025.6022705078,576,0.001
88800,888,-9069.485293779999,153,100.0,88600,3535.1572802734377,156007.80406005858,579,0.001
89200,892,-8952.513770790001,153,100.0,89000,3533.7229931640627,180886.27251953125,582,0.001
89600,896,-8659.52190697,153,100.0,89400,3557.9432763671875,145575.92715820312,584,0.001
90000,900,-8446.29118566,153,100.0,89800,3579.9196435546874,129677.68192138671,587,0.001
90400,904,-8122.506359220001,153,100.0,90200,3521.065869140625,206658.90458984376,590,0.001
90800,908,-7896.34538599,153,100.0,90600,3568.621083984375,166698.69720458984,592,0.001
91200,912,-7739.419346769998,153,100.0,91000,3552.892587890625,180549.12187744142,595,0.001
91600,916,-7556.116291040001,153,100.0,91400,3557.2453466796874,232023.88325683595,597,0.001
92000,920,-7446.17128878,153,100.0,91800,3557.5309521484373,176732.43345458983,600,0.001
92400,924,-7234.10202898,153,100.0,92200,3549.839775390625,213205.08585693358,603,0.001
92800,928,-7061.3779762700005,153,100.0,92600,3566.577685546875,156807.14309814453,605,0.001
93200,932,-6793.422499890002,153,100.0,93000,3584.0852880859375,159471.7243310547,608,0.001
93600,936,-6463.484619359999,153,100.0,93400,3573.3862744140624,193428.21407714844,610,0.001
94000,940,-6231.019121440002,153,100.0,93800,3568.1761328125,238635.69712646483,613,0.001
94400,944,-6029.179908360001,153,100.0,94200,3583.522646484375,197648.5579296875,616,0.001
94800,948,-5794.61360471,153,100.0,94600,3573.7828955078126,202645.47243652344,618,0.001
95200,952,-5531.60687443,153,100.0,95000,3572.09423828125,160241.74140380858,621,0.001
95600,956,-5386.633643759999,153,100.0,95400,3578.4637744140623,186617.96439453124,624,0.001
96000,960,-5345.06675959,153,100.0,95800,3586.8345654296877,234725.1896166992,626,0.001
96400,964,-5328.628698000001,153,100.0,96200,3556.0750244140627,226571.6361376953,629,0.001
96800,968,-5059.72517427,153,100.0,96600,3579.9911279296875,211455.38091308594,631,0.001
