rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/episodes,time/fps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
100.0,83600,83400,836,155,-16662.303418299998,4726.643232421875,372631.9132617188,535,0.001
100.0,84000,83800,840,155,-16638.43506854,4748.342685546875,382353.9936328125,538,0.001
100.0,84400,84200,844,155,-16636.71306519,4729.6582421875,333831.0326708984,541,0.001
100.0,84800,84600,848,155,-16640.029892259998,4737.972490234375,331469.88330322265,543,0.001
100.0,85200,85000,852,155,-16648.38687601,4747.701298828125,368114.53208007815,546,0.001
100.0,85600,85400,856,155,-16658.444920399997,4743.21919921875,262121.9419921875,548,0.001
100.0,86000,85800,860,155,-16691.529269489998,4740.4820703125,352550.0557666016,551,0.001
100.0,86400,86200,864,155,-16660.31419754,4732.87875,360487.0135620117,553,0.001
100.0,86800,86600,868,155,-16670.15159011,4744.7823828125,356290.9977001953,556,0.001
100.0,87200,87000,872,156,-16714.483571369998,4766.51130859375,407833.23270019534,558,0.001
100.0,87600,87400,876,156,-16734.596040080003,4746.3276953125,349306.98062988283,561,0.001
100.0,88000,87800,880,156,-16773.56044262,4766.505302734375,295288.063046875,564,0.001
100.0,88400,88200,884,155,-16814.45290172,4746.383125,353195.7582568359,566,0.001
100.0,88800,88600,888,155,-16816.346724149997,4764.007998046875,328750.7346142578,569,0.001
100.0,89200,89000,892,155,-16857.320784429998,4758.2078125,354718.2024853516,571,0.001
100.0,89600,89400,896,155,-16857.06215412,4758.345205078125,372590.8223095703,574,0.001
100.0,90000,89800,900,155,-16855.76194738,4755.3430859375,283723.918828125,577,0.001
100.0,90400,90200,904,155,-16830.926862250002,4780.97416015625,392495.8049707032,579,0.001
100.0,90800,90600,908,155,-16799.076693439994,4761.51560546875,427494.741796875,582,0.001
100.0,91200,91000,912,155,-16779.264655089995,4815.218359375,362009.0768115234,584,0.001
100.0,91600,91400,916,155,-16745.651244659995,4798.66416015625,388276.8608837891,587,0.001
100.0,92000,91800,920,156,-16752.81544231,4813.782041015625,285832.1939648437,589,0.001
100.0,92400,92200,924,156,-16748.741089860006,4805.745439453125,402743.3936132813,592,0.001
100.0,92800,92600,928,156,-16750.09841651,4794.48521484375,357574.7733447265,594,0.001
100.0,93200,93000,932,156,-16784.75606202,4839.626455078125,346702.20481445314,597,0.001
100.0,93600,93400,936,156,-16782.49726536,4846.36853515625,376775.65091796883,599,0.001
100.0,94000,93800,940,156,-16816.5145516,4861.76908203125,344033.7563867188,602,0.001
100.0,94400,94200,944,156,-16796.10162573,4829.594892578125,398661.3939794922,605,0.001
