rollout/ep_rew_mean,time/iterations,train/explained_variance,train/std,train/policy_loss,train/n_updates,train/entropy_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/learning_rate
-32708.39717201,14800,2.384185791015625e-07,1.2185777425765991,-2733.923095703125,14799,-4.844261169433594,486,100.0,152,74000,493608.15625,0.0007
-32730.60673376,14900,1.1920928955078125e-07,1.2228621244430542,-4766.24169921875,14899,-4.855241775512695,486,100.0,153,74500,1043333.125,0.0007
-32695.42293272,15000,1.1920928955078125e-07,1.22382390499115,-4116.87939453125,14999,-4.856654644012451,486,100.0,154,75000,888565.8125,0.0007
-32749.53111643,15100,0.0,1.229011297225952,-4505.81005859375,15099,-4.869657516479492,486,100.0,155,75500,918441.6875,0.0007
-32880.71460339,15200,0.0,1.2260392904281616,-5387.87744140625,15199,-4.8637003898620605,486,100.0,156,76000,907744.625,0.0007
-32899.737757020004,15300,0.0,1.2241942882537842,-3747.325439453125,15299,-4.856330394744873,486,100.0,157,76500,876634.0,0.0007
-32927.10881459,15400,0.0,1.2318034172058103,-2773.09619140625,15399,-4.875738143920898,486,100.0,158,77000,491800.59375,0.0007
-32858.43381637,15500,0.0,1.2276232242584229,-5212.44580078125,15499,-4.866849422454834,486,100.0,159,77500,1082477.375,0.0007
-32815.892778229994,15600,5.960464477539063e-08,1.220057249069214,-4324.60302734375,15599,-4.8466219902038565,486,100.0,160,78000,988875.4375,0.0007
-32771.99338011,15700,0.0,1.2226260900497437,-3968.22119140625,15699,-4.853569984436035,486,100.0,161,78500,965151.1875,0.0007
-32668.364481519995,15800,-1.1920928955078125e-07,1.2320069074630735,-3032.087646484375,15799,-4.87438440322876,486,100.0,162,79000,518464.15625,0.0007
-32609.12056219,15900,0.0,1.2351455688476562,-2835.2099609375,15899,-4.881006240844727,486,100.0,163,79500,658768.875,0.0007
-32592.91059892,16000,1.1920928955078125e-07,1.23062264919281,-3511.285888671875,15999,-4.87262487411499,486,100.0,164,80000,685624.3125,0.0007
-32584.08345072,16100,-1.1920928955078125e-07,1.2357467412948608,-4034.115234375,16099,-4.88625431060791,487,100.0,165,80500,706531.9375,0.0007
-32585.56446009,16200,1.1920928955078125e-07,1.24249005317688,-2418.1572265625,16199,-4.899882793426514,487,100.0,166,81000,423968.40625,0.0007
-32590.51326597,16300,0.0,1.2462342977523804,-3613.68017578125,16299,-4.911834239959717,487,100.0,167,81500,562786.9375,0.0007
-32614.09802118,16400,0.0,1.2498009204864502,-3916.803955078125,16399,-4.919857978820801,487,100.0,168,82000,711786.4375,0.0007
-32649.17677354,16500,-1.1920928955078125e-07,1.2505838871002195,-4192.02490234375,16499,-4.9222588539123535,486,100.0,169,82500,743022.375,0.0007
-32632.59337608,16600,0.0,1.2557477951049805,-4913.15185546875,16599,-4.934746742248535,486,100.0,170,83000,935748.625,0.0007
-32618.960940700006,16700,0.0,1.265674352645874,-3664.936767578125,16699,-4.95592212677002,486,100.0,171,83500,813441.6875,0.0007
-32766.528848520004,16800,0.0,1.261005163192749,-5357.43798828125,16799,-4.947044372558594,486,100.0,172,84000,1151797.375,0.0007
-32826.326401850005,16900,-1.1920928955078125e-07,1.2633929252624512,-3359.452392578125,16899,-4.951274394989014,486,100.0,173,84500,618157.4375,0.0007
-32960.070432279994,17000,1.1920928955078125e-07,1.2668533325195312,-4642.494140625,16999,-4.9586944580078125,486,100.0,174,85000,1077786.625,0.0007
-33015.18726794,17100,0.0,1.271641969680786,-4531.51513671875,17099,-4.969837188720703,486,100.0,175,85500,1087836.25,0.0007
-33049.37939812,17200,-1.1920928955078125e-07,1.2799311876296997,-3227.397705078125,17199,-4.987664699554443,486,100.0,176,86000,698676.1875,0.0007
