train/std,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/explained_variance,time/iterations,train/value_loss,time/total_timesteps,rollout/ep_len_mean,train/policy_loss
1.4608639478683472,-9797.95580259,10299,99,519,-5.371365547180176,0.0007,0.0,10300,102758.828125,51500,100.0,-1470.90576171875
1.4656522274017334,-9775.965156600001,10399,100,519,-5.383728981018066,0.0007,0.0,10400,103032.3046875,52000,100.0,-1726.4090576171875
1.4661366939544678,-9775.149316500001,10499,101,519,-5.386338710784912,0.0007,0.0,10500,102718.5390625,52500,100.0,-1964.8531494140625
1.469103217124939,-9777.64790277,10599,101,519,-5.390239238739014,0.0007,0.0,10600,102465.09375,53000,100.0,-1551.1937255859375
1.4861748218536377,-9803.783739389999,10699,102,519,-5.4245710372924805,0.0007,0.0,10700,102810.21875,53500,100.0,-1496.2813720703125
1.504022479057312,-9802.774287979999,10799,103,519,-5.462333679199219,0.0007,2.384185791015625e-07,10800,101453.6171875,54000,100.0,-1606.221923828125
1.4981745481491089,-9821.054635620001,10899,104,519,-5.448535442352295,0.0007,0.0,10900,103187.3359375,54500,100.0,-1953.622314453125
1.501675009727478,-9806.71178438,10999,105,519,-5.455827713012695,0.0007,0.0,11000,102469.8671875,55000,100.0,-1662.1453857421875
1.508062720298767,-9807.39323844,11099,106,519,-5.468321800231934,0.0007,0.0,11100,101628.640625,55500,100.0,-1416.5093994140625
1.510181188583374,-9830.58903871,11199,107,519,-5.475255966186523,0.0007,0.0,11200,102617.3984375,56000,100.0,-1555.614013671875
1.5142831802368164,-9834.02817345,11299,108,519,-5.480792045593262,0.0007,1.1920928955078125e-07,11300,102505.25,56500,100.0,-1756.166015625
1.5347967147827148,-9856.45209788,11399,109,519,-5.519202709197998,0.0007,0.0,11400,101047.7578125,57000,100.0,-1612.109375
1.54332435131073,-9885.71862769,11499,110,519,-5.536844730377197,0.0007,0.0,11500,101871.625,57500,100.0,-1777.026611328125
1.5428271293640137,-9894.040086320001,11599,111,519,-5.535638332366943,0.0007,0.0,11600,100313.5234375,58000,100.0,-1793.5999755859375
1.5460751056671143,-9911.37999131,11699,112,519,-5.545309066772461,0.0007,0.0,11700,101402.640625,58500,100.0,-2037.5946044921875
1.5376100540161133,-9934.76861406,11799,113,519,-5.523965358734131,0.0007,0.0,11800,102657.5390625,59000,100.0,-1418.179443359375
1.5394810438156128,-9948.28528211,11899,114,519,-5.5282721519470215,0.0007,0.0,11900,101591.9453125,59500,100.0,-1615.4896240234375
1.541758418083191,-9968.027472060001,11999,115,519,-5.529211044311523,0.0007,0.0,12000,101224.0859375,60000,100.0,-1412.37548828125
1.5540422201156616,-9976.702286220001,12099,116,519,-5.556582450866699,0.0007,0.0,12100,101789.1328125,60500,100.0,-1807.4224853515625
1.5631709098815918,-9992.94676938,12199,117,519,-5.574370384216309,0.0007,0.0,12200,101532.7890625,61000,100.0,-1730.1326904296875
