time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss
628,96000,100.0,-13957.18247166,136872.57644714357,152,960,0.001,95800,3916.311936035156
631,96400,100.0,-13957.99745805,116763.26243286133,152,964,0.001,96200,3891.459892578125
633,96800,100.0,-13982.98164947,116885.41679077149,152,968,0.001,96600,3865.849064941406
636,97200,100.0,-13964.98133534,130118.19470336914,152,972,0.001,97000,3862.170505371094
639,97600,100.0,-13880.615359700001,123953.49715270994,152,976,0.001,97400,3855.221281738281
641,98000,100.0,-13609.67768763,95896.45756652832,152,980,0.001,97800,3860.320483398437
644,98400,100.0,-13266.249293150002,131345.87818847655,152,984,0.001,98200,3862.645087890625
647,98800,100.0,-13178.913014520003,138364.34275878908,152,988,0.001,98600,3823.2438696289055
649,99200,100.0,-12894.722893169997,115465.51634155273,152,992,0.001,99000,3810.007221679688
652,99600,100.0,-12588.879074840002,87936.12681152344,152,996,0.001,99400,3813.050908203125
654,100000,100.0,-12394.47098525,143935.05719848632,152,1000,0.001,99800,3774.08521484375
657,100400,100.0,-12240.27426984,93841.03020263671,152,1004,0.001,100200,3786.115256347656
660,100800,100.0,-11936.94131224,106977.74409301758,152,1008,0.001,100600,3768.406611328125
662,101200,100.0,-11585.648489619998,106918.6805871582,152,1012,0.001,101000,3757.949873046875
665,101600,100.0,-11181.83625408,107430.10451293943,152,1016,0.001,101400,3739.2892944335936
667,102000,100.0,-10862.62031108,105973.74643188476,152,1020,0.001,101800,3698.563347167969
670,102400,100.0,-10622.34739666,92050.13639953613,152,1024,0.001,102200,3689.0142651367187
673,102800,100.0,-10289.36118697,103417.7054309082,152,1028,0.001,102600,3649.419587402344
675,103200,100.0,-9932.01423815,85983.24313720703,152,1032,0.001,103000,3626.673864746094
678,103600,100.0,-9598.381815820001,88647.32143066406,152,1036,0.001,103400,3588.1009716796875
680,104000,100.0,-9424.58813734,114358.26529052734,152,1040,0.001,103800,3531.332253417969
683,104400,100.0,-9335.324812260002,100838.89039306641,152,1044,0.001,104200,3484.9497924804687
686,104800,100.0,-9245.21889189,107682.91475219726,152,1048,0.001,104600,3436.111157226563
688,105200,100.0,-8947.062620659999,101604.2798828125,152,1052,0.001,105000,3382.33345703125
691,105600,100.0,-8713.589639310001,106617.9533984375,152,1056,0.001,105400,3343.1162524414062
694,106000,100.0,-8386.473590460002,85913.62832885742,152,1060,0.001,105800,3310.7332397460937
696,106400,100.0,-7982.0485954900005,96228.54880737305,152,1064,0.001,106200,3242.9926684570314
699,106800,100.0,-7721.23691161,97397.77131103516,152,1068,0.001,106600,3177.04513671875
